customer_id,customer_segment,region
C0001,Loyal,South
C0002,New,South
C0003,Loyal,East
C0004,Loyal,South
C0005,New,West
C0006,New,North
C0007,Loyal,West
C0008,Regular,North
C0009,Loyal,North
C0010,Loyal,West
C0011,Loyal,West
C0012,Loyal,West
C0013,New,West
C0014,Loyal,East
C0015,Regular,South
C0016,New,North
C0017,Regular,West
C0018,Regular,West
C0019,Regular,West
C0020,Regular,East
C0021,New,West
C0022,New,West
C0023,Regular,West
C0024,Regular,South
C0025,New,East
C0026,New,West
C0027,New,North
C0028,Loyal,North
C0029,Loyal,North
C0030,Loyal,East
C0031,Regular,East
C0032,Loyal,North
C0033,Regular,West
C0034,Regular,East
C0035,Loyal,North
C0036,Regular,North
C0037,Loyal,West
C0038,Loyal,South
C0039,New,East
C0040,Loyal,West
C0041,New,North
C0042,Loyal,North
C0043,Loyal,West
C0044,New,East
C0045,New,South
C0046,Loyal,South
C0047,Regular,North
C0048,New,East
C0049,Regular,South
C0050,Regular,East
C0051,Regular,East
C0052,New,North
C0053,Regular,South
C0054,New,West
C0055,Regular,North
C0056,Loyal,South
C0057,Loyal,South
C0058,New,South
C0059,Loyal,South
C0060,Loyal,South
C0061,Regular,East
C0062,New,North
C0063,Regular,East
C0064,Regular,West
C0065,Regular,South
C0066,Regular,North
C0067,Regular,South
C0068,Regular,North
C0069,Regular,East
C0070,New,North
C0071,Loyal,West
C0072,Regular,West
C0073,Regular,North
C0074,Regular,North
C0075,Regular,North
C0076,Regular,North
C0077,Regular,West
C0078,Loyal,South
C0079,Loyal,North
C0080,Regular,North
C0081,Loyal,West
C0082,New,West
C0083,Regular,East
C0084,New,North
C0085,New,East
C0086,Regular,West
C0087,Loyal,West
C0088,New,South
C0089,Regular,North
C0090,New,East
C0091,New,West
C0092,New,West
C0093,New,East
C0094,Loyal,South
C0095,New,West
C0096,New,North
C0097,New,West
C0098,Loyal,North
C0099,New,East
C0100,New,North
C0101,Loyal,East
C0102,Loyal,North
C0103,Loyal,East
C0104,New,North
C0105,Loyal,South
C0106,Loyal,North
C0107,New,North
C0108,Loyal,South
C0109,New,West
C0110,Regular,West
C0111,Loyal,North
C0112,Regular,South
C0113,New,North
C0114,Loyal,East
C0115,New,East
C0116,Regular,North
C0117,New,West
C0118,Loyal,West
C0119,Loyal,North
C0120,Regular,North
C0121,New,East
C0122,Loyal,West
C0123,Regular,North
C0124,Loyal,East
C0125,Loyal,West
C0126,New,South
C0127,Loyal,East
C0128,New,West
C0129,Loyal,West
C0130,Regular,East
C0131,Loyal,South
C0132,New,East
C0133,New,West
C0134,Regular,North
C0135,Loyal,North
C0136,Loyal,East
C0137,Regular,West
C0138,Loyal,North
C0139,Loyal,West
C0140,New,East
C0141,Loyal,North
C0142,Loyal,West
C0143,Regular,North
C0144,Regular,East
C0145,New,West
C0146,Loyal,North
C0147,Loyal,East
C0148,Loyal,North
C0149,New,North
C0150,New,South
C0151,Regular,South
C0152,New,East
C0153,Loyal,South
C0154,Loyal,East
C0155,New,South
C0156,Loyal,North
C0157,Loyal,East
C0158,New,East
C0159,New,North
C0160,Loyal,East
C0161,Loyal,East
C0162,Loyal,South
C0163,Regular,East
C0164,Regular,West
C0165,Regular,North
C0166,New,South
C0167,Regular,South
C0168,New,West
C0169,New,North
C0170,Regular,North
C0171,Regular,South
C0172,Regular,East
C0173,Loyal,South
C0174,Regular,North
C0175,Loyal,West
C0176,New,South
C0177,Loyal,North
C0178,Regular,South
C0179,New,East
C0180,New,South
C0181,New,South
C0182,Loyal,North
C0183,Regular,North
C0184,New,North
C0185,New,South
C0186,New,East
C0187,Loyal,West
C0188,Loyal,West
C0189,Regular,North
C0190,Loyal,North
C0191,New,South
C0192,Regular,West
C0193,New,North
C0194,New,East
