product_id,warehouse_id,stock_quantity,reorder_point,stock_out_risk
P0001,W01,336,101,False
P0001,W02,455,159,False
P0001,W03,249,155,False
P0001,W04,83,95,True
P0001,W05,138,50,False
P0002,W01,477,193,False
P0002,W02,474,74,False
P0002,W03,230,111,False
P0002,W04,397,131,False
P0002,W05,425,129,False
P0003,W01,462,193,False
P0003,W02,11,140,True
P0003,W03,467,170,False
P0003,W04,272,102,False
P0003,W05,487,200,False
P0004,W01,89,93,True
P0004,W02,461,81,False
P0004,W03,24,72,True
P0004,W04,25,197,True
P0004,W05,430,68,False
P0005,W01,152,78,False
P0005,W02,472,195,False
P0005,W03,59,118,True
P0005,W04,59,189,True
P0005,W05,282,59,False
P0006,W01,170,160,False
P0006,W02,75,86,True
P0006,W03,275,130,False
P0006,W04,446,145,False
P0006,W05,207,104,False
P0007,W01,408,181,False
P0007,W02,154,177,True
P0007,W03,179,112,False
P0007,W04,81,61,False
P0007,W05,9,195,True
P0008,W01,242,57,False
P0008,W02,177,81,False
P0008,W03,285,98,False
P0008,W04,256,153,False
P0008,W05,309,136,False
P0009,W01,3,148,True
P0009,W02,214,99,False
P0009,W03,390,200,False
P0009,W04,29,145,True
P0009,W05,345,112,False
P0010,W01,64,115,True
P0010,W02,123,152,True
P0010,W03,284,95,False
P0010,W04,152,192,True
P0010,W05,39,65,True
P0011,W01,25,169,True
P0011,W02,272,139,False
P0011,W03,158,121,False
P0011,W04,188,65,False
P0011,W05,263,134,False
P0012,W01,68,88,True
P0012,W02,0,188,True
P0012,W03,78,85,True
P0012,W04,227,67,False
P0012,W05,326,200,False
P0013,W01,45,126,True
P0013,W02,107,98,False
P0013,W03,500,152,False
P0013,W04,474,93,False
P0013,W05,354,158,False
P0014,W01,123,178,True
P0014,W02,474,56,False
P0014,W03,147,97,False
P0014,W04,465,161,False
P0014,W05,423,193,False
P0015,W01,251,97,False
P0015,W02,1,100,True
P0015,W03,221,156,False
P0015,W04,188,115,False
P0015,W05,485,80,False
P0016,W01,477,88,False
P0016,W02,70,58,False
P0016,W03,358,90,False
P0016,W04,332,112,False
P0016,W05,96,63,False
P0017,W01,231,107,False
P0017,W02,29,137,True
P0017,W03,29,146,True
P0017,W04,214,147,False
P0017,W05,172,181,True
P0018,W01,279,181,False
P0018,W02,467,119,False
P0018,W03,475,135,False
P0018,W04,439,53,False
P0018,W05,210,99,False
P0019,W01,316,54,False
P0019,W02,496,124,False
P0019,W03,396,94,False
P0019,W04,124,166,True
P0019,W05,79,76,False
P0020,W01,183,179,False
P0020,W02,14,167,True
P0020,W03,10,153,True
P0020,W04,395,98,False
P0020,W05,341,159,False
P0021,W01,88,127,True
P0021,W02,2,50,True
P0021,W03,23,169,True
P0021,W04,88,84,False
P0021,W05,8,105,True
P0022,W01,475,192,False
P0022,W02,45,53,True
P0022,W03,93,159,True
P0022,W04,70,133,True
P0022,W05,187,71,False
P0023,W01,138,73,False
P0023,W02,9,124,True
P0023,W03,2,159,True
P0023,W04,18,183,True
P0023,W05,129,187,True
P0024,W01,400,159,False
P0024,W02,220,139,False
P0024,W03,129,86,False
P0024,W04,436,103,False
P0024,W05,399,100,False
P0025,W01,112,109,False
P0025,W02,137,121,False
P0025,W03,451,177,False
P0025,W04,42,100,True
P0025,W05,217,111,False
P0026,W01,57,98,True
P0026,W02,112,77,False
P0026,W03,187,126,False
P0026,W04,121,56,False
P0026,W05,407,114,False
P0027,W01,459,172,False
P0027,W02,84,85,True
P0027,W03,105,122,True
P0027,W04,399,79,False
P0027,W05,355,96,False
P0028,W01,98,140,True
P0028,W02,8,78,True
P0028,W03,5,54,True
P0028,W04,107,114,True
P0028,W05,448,164,False
P0029,W01,461,112,False
P0029,W02,151,142,False
P0029,W03,393,66,False
P0029,W04,337,176,False
P0029,W05,236,100,False
P0030,W01,456,162,False
P0030,W02,26,86,True
P0030,W03,118,137,True
P0030,W04,210,165,False
P0030,W05,99,174,True
P0031,W01,2,186,True
P0031,W02,293,87,False
P0031,W03,456,102,False
P0031,W04,329,190,False
P0031,W05,328,139,False
P0032,W01,16,102,True
P0032,W02,105,168,True
P0032,W03,229,168,False
P0032,W04,303,98,False
P0032,W05,176,171,False
P0033,W01,426,119,False
P0033,W02,83,65,False
P0033,W03,262,62,False
P0033,W04,195,170,False
P0033,W05,248,188,False
P0034,W01,381,136,False
P0034,W02,457,179,False
P0034,W03,148,143,False
P0034,W04,205,68,False
P0034,W05,408,153,False
P0035,W01,80,94,True
P0035,W02,188,96,False
P0035,W03,411,128,False
P0035,W04,205,91,False
P0035,W05,307,157,False
P0036,W01,268,168,False
P0036,W02,289,135,False
P0036,W03,382,160,False
P0036,W04,360,68,False
P0036,W05,450,88,False
P0037,W01,387,184,False
P0037,W02,299,88,False
P0037,W03,381,147,False
P0037,W04,254,83,False
P0037,W05,398,117,False
P0038,W01,467,97,False
P0038,W02,7,52,True
P0038,W03,113,162,True
P0038,W04,4,186,True
P0038,W05,449,110,False
P0039,W01,475,197,False
P0039,W02,341,174,False
P0039,W03,72,61,False
P0039,W04,347,152,False
P0039,W05,120,77,False
P0040,W01,301,124,False
P0040,W02,448,184,False
P0040,W03,371,131,False
P0040,W04,483,132,False
P0040,W05,368,191,False
P0041,W01,233,196,False
P0041,W02,65,103,True
P0041,W03,229,116,False
P0041,W04,409,138,False
P0041,W05,30,127,True
P0042,W01,306,69,False
P0042,W02,296,145,False
P0042,W03,50,144,True
P0042,W04,146,120,False
P0042,W05,94,182,True
P0043,W01,328,181,False
P0043,W02,386,188,False
P0043,W03,37,68,True
P0043,W04,197,151,False
P0043,W05,240,76,False
P0044,W01,172,78,False
P0044,W02,492,67,False
P0044,W03,255,138,False
P0044,W04,454,69,False
P0044,W05,40,119,True
P0045,W01,408,149,False
P0045,W02,472,192,False
P0045,W03,433,67,False
P0045,W04,128,87,False
P0045,W05,53,169,True
P0046,W01,85,138,True
P0046,W02,211,133,False
P0046,W03,268,199,False
P0046,W04,295,153,False
P0046,W05,20,160,True
P0047,W01,214,75,False
P0047,W02,424,113,False
P0047,W03,188,107,False
P0047,W04,160,180,True
P0047,W05,200,79,False
P0048,W01,28,68,True
P0048,W02,380,59,False
P0048,W03,243,138,False
P0048,W04,182,196,True
P0048,W05,31,176,True
P0049,W01,266,173,False
P0049,W02,435,156,False
P0049,W03,35,134,True
P0049,W04,92,55,False
P0049,W05,367,100,False
P0050,W01,158,191,True
P0050,W02,397,107,False
P0050,W03,446,185,False
P0050,W04,179,51,False
P0050,W05,437,67,False
P0051,W01,372,141,False
P0051,W02,305,105,False
P0051,W03,472,92,False
P0051,W04,378,122,False
P0051,W05,437,121,False
P0052,W01,217,166,False
P0052,W02,469,57,False
P0052,W03,328,54,False
P0052,W04,352,62,False
P0052,W05,342,56,False
P0053,W01,226,70,False
P0053,W02,211,86,False
P0053,W03,352,111,False
P0053,W04,162,150,False
P0053,W05,365,168,False
P0054,W01,157,181,True
P0054,W02,109,169,True
P0054,W03,54,135,True
P0054,W04,349,124,False
P0054,W05,213,83,False
P0055,W01,364,94,False
P0055,W02,384,193,False
P0055,W03,14,186,True
P0055,W04,152,65,False
P0055,W05,19,144,True
P0056,W01,454,190,False
P0056,W02,399,177,False
P0056,W03,51,54,True
P0056,W04,342,172,False
P0056,W05,468,176,False
P0057,W01,320,67,False
P0057,W02,366,197,False
P0057,W03,83,179,True
P0057,W04,366,89,False
P0057,W05,466,59,False
P0058,W01,325,113,False
P0058,W02,485,91,False
P0058,W03,223,142,False
P0058,W04,128,89,False
P0058,W05,349,193,False
P0059,W01,381,174,False
P0059,W02,15,110,True
P0059,W03,410,163,False
P0059,W04,273,93,False
P0059,W05,76,192,True
P0060,W01,299,144,False
P0060,W02,305,110,False
P0060,W03,91,56,False
P0060,W04,457,173,False
P0060,W05,269,79,False
P0061,W01,51,162,True
P0061,W02,348,139,False
P0061,W03,120,188,True
P0061,W04,458,172,False
P0061,W05,49,155,True
P0062,W01,378,141,False
P0062,W02,474,142,False
P0062,W03,491,183,False
P0062,W04,272,161,False
P0062,W05,379,100,False
P0063,W01,119,129,True
P0063,W02,386,159,False
P0063,W03,445,87,False
P0063,W04,94,71,False
P0063,W05,148,139,False
P0064,W01,288,184,False
P0064,W02,256,159,False
P0064,W03,453,156,False
P0064,W04,370,173,False
P0064,W05,183,73,False
P0065,W01,259,90,False
P0065,W02,149,100,False
P0065,W03,204,151,False
P0065,W04,441,163,False
P0065,W05,171,118,False
P0066,W01,312,143,False
P0066,W02,221,169,False
P0066,W03,167,74,False
P0066,W04,243,153,False
P0066,W05,217,92,False
P0067,W01,55,108,True
P0067,W02,62,103,True
P0067,W03,102,128,True
P0067,W04,372,103,False
P0067,W05,166,124,False
P0068,W01,6,142,True
P0068,W02,141,186,True
P0068,W03,124,91,False
P0068,W04,89,128,True
P0068,W05,401,130,False
P0069,W01,310,107,False
P0069,W02,370,135,False
P0069,W03,439,156,False
P0069,W04,215,188,False
P0069,W05,440,151,False
P0070,W01,122,103,False
P0070,W02,371,79,False
P0070,W03,185,114,False
P0070,W04,370,107,False
P0070,W05,152,86,False
P0071,W01,248,167,False
P0071,W02,113,122,True
P0071,W03,95,118,True
P0071,W04,197,112,False
P0071,W05,335,143,False
P0072,W01,2,64,True
P0072,W02,148,79,False
P0072,W03,415,162,False
P0072,W04,385,128,False
P0072,W05,110,197,True
P0073,W01,19,106,True
P0073,W02,202,105,False
P0073,W03,370,105,False
P0073,W04,401,58,False
P0073,W05,181,71,False
P0074,W01,330,126,False
P0074,W02,226,173,False
P0074,W03,291,77,False
P0074,W04,357,191,False
P0074,W05,75,182,True
P0075,W01,316,61,False
P0075,W02,315,112,False
P0075,W03,222,174,False
P0075,W04,372,155,False
P0075,W05,35,197,True
P0076,W01,477,147,False
P0076,W02,427,168,False
P0076,W03,323,168,False
P0076,W04,449,90,False
P0076,W05,299,171,False
P0077,W01,332,65,False
P0077,W02,89,171,True
P0077,W03,28,129,True
P0077,W04,175,155,False
P0077,W05,419,55,False
P0078,W01,219,69,False
P0078,W02,135,185,True
P0078,W03,388,146,False
P0078,W04,351,55,False
P0078,W05,477,57,False
P0079,W01,461,63,False
P0079,W02,174,180,True
P0079,W03,125,179,True
P0079,W04,170,71,False
P0079,W05,393,134,False
P0080,W01,265,183,False
P0080,W02,133,93,False
P0080,W03,271,57,False
P0080,W04,443,73,False
P0080,W05,25,76,True
P0081,W01,276,100,False
P0081,W02,99,118,True
P0081,W03,441,74,False
P0081,W04,424,93,False
P0081,W05,361,168,False
P0082,W01,29,158,True
P0082,W02,132,169,True
P0082,W03,393,62,False
P0082,W04,495,102,False
P0082,W05,350,86,False
P0083,W01,138,164,True
P0083,W02,485,89,False
P0083,W03,190,127,False
P0083,W04,390,144,False
P0083,W05,186,183,False
P0084,W01,139,74,False
P0084,W02,319,152,False
P0084,W03,378,95,False
P0084,W04,236,151,False
P0084,W05,368,140,False
P0085,W01,296,143,False
P0085,W02,443,117,False
P0085,W03,199,88,False
P0085,W04,283,129,False
P0085,W05,378,184,False
P0086,W01,79,134,True
P0086,W02,446,115,False
P0086,W03,500,104,False
P0086,W04,258,121,False
P0086,W05,100,91,False
P0087,W01,31,179,True
P0087,W02,276,119,False
P0087,W03,120,181,True
P0087,W04,54,70,True
P0087,W05,492,50,False
P0088,W01,17,109,True
P0088,W02,308,125,False
P0088,W03,367,140,False
P0088,W04,120,191,True
P0088,W05,109,137,True
P0089,W01,330,131,False
P0089,W02,60,66,True
P0089,W03,433,122,False
P0089,W04,263,105,False
P0089,W05,267,176,False
P0090,W01,434,102,False
P0090,W02,499,177,False
P0090,W03,449,195,False
