order_id,product_id,quantity,discount_pct,unit_cost,unit_price,gross_sales,discount_amount,net_sales,total_cost,gross_margin
O00001,P0081,2,20,65.97,189.84,379.68,75.936,303.744,131.94,171.80400000000003
O00002,P0027,3,5,58.79,135.79,407.37,20.368499999999997,387.0015,176.37,210.63150000000002
O00003,P0075,2,5,74.85,125.1,250.2,12.51,237.69,149.7,87.99000000000001
O00004,P0055,5,20,41.8,86.18,430.90000000000003,86.18,344.72,209.0,135.72000000000003
O00005,P0087,2,0,32.13,56.17,112.34,0.0,112.34,64.26,48.08
O00006,P0015,3,20,75.36,201.05,603.1500000000001,120.63000000000002,482.5200000000001,226.07999999999998,256.4400000000001
O00007,P0052,5,10,32.44,49.78,248.9,24.89,224.01,162.2,61.81
O00008,P0031,4,20,74.22,112.69,450.76,90.152,360.608,296.88,63.72800000000001
O00009,P0090,2,5,41.64,111.21,222.42,11.120999999999999,211.29899999999998,83.28,128.01899999999998
O00010,P0007,4,15,49.51,86.65,346.6,51.99,294.61,198.04,96.57000000000002
O00011,P0013,2,10,44.88,117.97,235.94,23.594,212.346,89.76,122.586
O00012,P0054,1,10,35.85,95.25,95.25,9.525,85.725,35.85,49.87499999999999
O00013,P0013,1,10,44.88,117.97,117.97,11.797,106.173,44.88,61.293
O00014,P0020,3,25,69.56,183.08,549.24,137.31,411.93,208.68,203.25
O00015,P0098,1,10,37.4,104.38,104.38,10.437999999999999,93.942,37.4,56.541999999999994
O00016,P0010,5,5,72.98,190.64,953.1999999999999,47.66,905.54,364.90000000000003,540.6399999999999
O00017,P0052,5,20,32.44,49.78,248.9,49.78,199.12,162.2,36.920000000000016
O00018,P0037,2,5,60.29,177.17,354.34,17.717,336.623,120.58,216.043
O00019,P0052,4,5,32.44,49.78,199.12,9.956,189.16400000000002,129.76,59.404000000000025
O00020,P0027,5,0,58.79,135.79,678.9499999999999,0.0,678.9499999999999,293.95,384.99999999999994
O00021,P0034,2,20,44.35,114.17,228.34,45.668,182.672,88.7,93.972
O00022,P0100,4,5,14.66,26.05,104.2,5.21,98.99000000000001,58.64,40.35000000000001
O00023,P0062,1,5,10.19,18.89,18.89,0.9445,17.9455,10.19,7.7555
O00024,P0016,2,20,10.53,18.06,36.12,7.224,28.895999999999997,21.06,7.8359999999999985
O00025,P0059,4,15,57.92,159.9,639.6,95.94,543.6600000000001,231.68,311.9800000000001
