order_id,customer_id,order_date,channel,status,quantity,discount_pct
O00001,C0498,2026-04-23,E-commerce,Delivered,2,20
O00002,C0194,2026-08-21,Store,Delivered,3,5
O00003,C0476,2025-09-03,E-commerce,Delivered,2,5
O00004,C0113,2026-03-27,E-commerce,Delivered,5,20
O00005,C0114,2026-03-16,Store,Delivered,2,0
O00006,C0222,2026-08-07,Store,Delivered,3,20
O00007,C0166,2026-01-03,Mobile App,Delivered,5,10
O00008,C0435,2026-01-16,E-commerce,Cancelled,4,20
O00009,C0319,2026-08-05,Mobile App,Cancelled,2,5
O00010,C0132,2025-09-25,Store,Delivered,4,15
O00011,C0385,2025-11-07,E-commerce,Delivered,2,10
O00012,C0264,2025-10-31,E-commerce,Delivered,1,10
O00013,C0413,2025-09-29,Store,Delivered,1,10
O00014,C0055,2025-09-19,E-commerce,Delivered,3,25
O00015,C0359,2026-02-18,Store,Returned,1,10
O00016,C0131,2025-11-13,E-commerce,Delivered,5,5
O00017,C0288,2025-10-31,E-commerce,Delivered,5,20
O00018,C0266,2026-01-31,E-commerce,Delivered,2,5
O00019,C0458,2026-06-03,Store,Delivered,4,5
O00020,C0467,2025-10-18,E-commerce,Delivered,5,0
O00021,C0366,2026-03-30,Mobile App,Delivered,2,20
O00022,C0162,2026-08-09,Mobile App,Returned,4,5
O00023,C0380,2026-01-17,Mobile App,Delivered,1,5
O00024,C0481,2025-12-19,Store,Cancelled,2,20
O00025,C0087,2026-03-02,Mobile App,Returned,4,15
O00026,C0055,2025-09-28,E-commerce,Delivered,3,0
O00027,C0476,2026-03-16,Store,Delivered,3,15
O00028,C0288,2026-03-10,Mobile App,Delivered,5,20
O00029,C0178,2026-07-12,E-commerce,Delivered,4,0
O00030,C0391,2025-10-21,E-commerce,Delivered,3,15
O00031,C0349,2026-01-27,Store,Cancelled,5,10
O00032,C0008,2026-05-26,E-commerce,Delivered,2,10
O00033,C0321,2025-10-20,Mobile App,Delivered,2,10
O00034,C0313,2026-05-04,E-commerce,Delivered,4,10
O00035,C0247,2025-12-22,E-commerce,Delivered,4,0
O00036,C0323,2026-02-17,Mobile App,Delivered,4,15
O00037,C0472,2026-02-13,E-commerce,Delivered,4,0
O00038,C0471,2025-09-14,E-commerce,Delivered,3,10
O00039,C0443,2026-03-22,Mobile App,Delivered,3,0
O00040,C0255,2026-06-15,E-commerce,Cancelled,5,15
O00041,C0328,2026-03-08,Mobile App,Delivered,3,5
O00042,C0054,2026-02-02,Store,Cancelled,2,10
O00043,C0249,2025-10-25,Store,Delivered,5,5
O00044,C0239,2026-03-01,E-commerce,Delivered,3,15
O00045,C0229,2026-03-29,E-commerce,Delivered,4,10
O00046,C0067,2025-11-14,Mobile App,Delivered,3,15
O00047,C0051,2026-06-04,Store,Delivered,1,0
O00048,C0097,2026-01-11,Store,Delivered,5,0
O00049,C0092,2026-08-09,Store,Delivered,3,10
O00050,C0495,2025-10-29,E-commerce,Delivered,3,20
O00051,C0264,2026-08-11,E-commerce,Delivered,2,0
O00052,C0418,2026-03-01,E-commerce,Delivered,4,0
O00053,C0291,2026-08-05,E-commerce,Delivered,4,0
O00054,C0096,2026-07-18,E-commerce,Returned,2,10
O00055,C0088,2025-11-03,Store,Delivered,2,5
O00056,C0078,2026-07-24,E-commerce,Delivered,1,15
O00057,C0288,2026-05-18,E-commerce,Returned,5,0
O00058,C0120,2026-03-12,E-commerce,Delivered,4,0
O00059,C0302,2026-01-21,Store,Returned,2,5
O00060,C0491,2025-12-13,Mobile App,Delivered,2,10
O00061,C0400,2026-04-02,Mobile App,Cancelled,5,10
O00062,C0452,2026-04-30,Store,Delivered,2,0
O00063,C0500,2026-03-28,E-commerce,Returned,1,20
O00064,C0165,2025-12-02,Mobile App,Delivered,5,5
O00065,C0182,2026-01-20,E-commerce,Delivered,1,15
O00066,C0469,2025-12-21,E-commerce,Delivered,3,10
O00067,C0398,2025-10-29,Store,Delivered,4,0
O00068,C0223,2025-10-13,Store,Delivered,2,15
O00069,C0311,2026-03-26,E-commerce,Delivered,5,15
O00070,C0432,2026-05-26,E-commerce,Cancelled,1,5
O00071,C0466,2026-06-23,Mobile App,Delivered,4,10
O00072,C0007,2025-12-27,E-commerce,Cancelled,4,5
O00073,C0330,2025-09-20,E-commerce,Delivered,2,10
O00074,C0263,2026-04-10,E-commerce,Returned,4,5
O00075,C0161,2026-02-13,E-commerce,Returned,2,15
O00076,C0151,2026-01-09,Store,Delivered,3,0
O00077,C0085,2026-02-03,E-commerce,Cancelled,2,0
O00078,C0147,2026-03-03,E-commerce,Delivered,1,5
O00079,C0112,2025-11-29,Mobile App,Delivered,4,0
O00080,C0381,2025-12-03,Store,Delivered,4,10
O00081,C0403,2025-09-13,E-commerce,Delivered,4,0
O00082,C0036,2026-07-19,E-commerce,Delivered,2,15
O00083,C0285,2026-06-20,E-commerce,Delivered,5,0
O00084,C0188,2026-04-18,Mobile App,Delivered,2,15
O00085,C0082,2026-07-19,Mobile App,Delivered,1,10
O00086,C0002,2026-06-19,Store,Delivered,2,25
O00087,C0385,2025-09-26,Store,Cancelled,4,25
O00088,C0303,2025-11-14,Store,Returned,3,20
O00089,C0197,2026-08-30,Mobile App,Delivered,1,15
O00090,C0404,2026-06-26,E-commerce,Delivered,3,5
O00091,C0011,2026-01-28,E-commerce,Delivered,1,15
O00092,C0234,2026-01-26,Store,Delivered,1,25
O00093,C0386,2025-09-08,E-commerce,Delivered,4,0
O00094,C0195,2025-09-29,E-commerce,Delivered,2,10
O00095,C0471,2026-06-23,Mobile App,Delivered,4,0
O00096,C0119,2026-03-28,E-commerce,Delivered,4,10
O00097,C0396,2026-01-06,Mobile App,Delivered,4,10
O00098,C0020,2026-08-06,Mobile App,Delivered,3,10
O00099,C0261,2025-12-25,E-commerce,Cancelled,1,10
O00100,C0293,2026-01-22,Store,Delivered,5,25
O00101,C0422,2026-07-15,E-commerce,Delivered,2,10
O00102,C0256,2026-04-23,E-commerce,Cancelled,4,15
O00103,C0222,2025-09-07,Mobile App,Delivered,1,5
O00104,C0393,2025-10-15,Mobile App,Delivered,2,5
