product_id,category,unit_cost,unit_price
P0001,Sleepwear,55.42,102.17
P0002,Sleepwear,43.57,100.83
P0003,Lingerie,50.89,109.28
P0004,Lingerie,61.58,123.11
P0005,Beauty,49.04,127.3
P0006,Accessories,51.06,129.72
P0007,Beauty,49.51,86.65
P0008,Lingerie,36.51,102.88
P0009,Beauty,33.62,75.41
P0010,Lingerie,72.98,190.64
P0011,Beauty,52.53,123.96
P0012,Lingerie,27.1,81.21
P0013,Lingerie,44.88,117.97
P0014,Lingerie,33.12,84.8
P0015,Accessories,75.36,201.05
P0016,Beauty,10.53,18.06
P0017,Beauty,25.77,46.56
P0018,Beauty,35.57,91.45
P0019,Lingerie,44.15,98.94
P0020,Beauty,69.56,183.08
P0021,Beauty,16.15,26.72
P0022,Lingerie,66.41,153.06
P0023,Sleepwear,13.9,28.75
P0024,Lingerie,68.96,150.71
P0025,Beauty,13.61,32.74
P0026,Lingerie,11.28,25.42
P0027,Sleepwear,58.79,135.79
P0028,Lingerie,79.81,177.94
P0029,Beauty,72.76,153.77
P0030,Sleepwear,50.32,133.74
P0031,Accessories,74.22,112.69
P0032,Beauty,10.37,24.86
P0033,Sleepwear,78.25,183.75
P0034,Sleepwear,44.35,114.17
P0035,Accessories,60.6,145.35
P0036,Lingerie,67.46,184.85
P0037,Lingerie,60.29,177.17
P0038,Beauty,47.45,95.55
P0039,Accessories,43.36,79.83
P0040,Lingerie,68.7,146.7
P0041,Accessories,24.36,47.06
P0042,Lingerie,77.76,188.37
P0043,Sleepwear,59.77,171.41
P0044,Lingerie,23.97,40.96
P0045,Accessories,61.54,101.61
P0046,Sleepwear,47.09,88.72
P0047,Sleepwear,59.51,154.08
P0048,Sleepwear,63.74,152.3
P0049,Accessories,16.11,26.63
P0050,Beauty,45.43,130.75
P0051,Beauty,75.24,202.03
P0052,Beauty,32.44,49.78
P0053,Accessories,51.57,127.74
P0054,Sleepwear,35.85,95.25
P0055,Beauty,41.8,86.18
P0056,Accessories,48.4,77.6
P0057,Beauty,48.42,78.25
P0058,Lingerie,24.12,39.95
P0059,Beauty,57.92,159.9
P0060,Beauty,16.15,46.29
P0061,Sleepwear,19.72,33.21
P0062,Accessories,10.19,18.89
P0063,Sleepwear,18.17,31.77
P0064,Sleepwear,43.12,76.73
P0065,Sleepwear,52.43,144.51
P0066,Sleepwear,65.6,131.08
P0067,Sleepwear,17.47,34.37
P0068,Beauty,69.55,128.05
P0069,Sleepwear,62.22,150.06
P0070,Sleepwear,38.6,79.86
P0071,Accessories,75.31,197.04
P0072,Lingerie,79.37,143.53
P0073,Beauty,24.35,65.3
P0074,Beauty,36.55,87.92
P0075,Beauty,74.85,125.1
P0076,Sleepwear,60.51,128.39
P0077,Sleepwear,13.37,37.37
P0078,Sleepwear,64.71,186.65
P0079,Accessories,67.96,149.41
P0080,Lingerie,62.54,138.92
P0081,Sleepwear,65.97,189.84
P0082,Lingerie,67.76,161.31
P0083,Accessories,23.05,35.71
P0084,Beauty,26.5,76.03
P0085,Sleepwear,54.36,101.78
P0086,Lingerie,73.55,174.05
P0087,Lingerie,32.13,56.17
P0088,Sleepwear,51.18,79.37
P0089,Beauty,57.81,113.72
P0090,Beauty,41.64,111.21
P0091,Beauty,59.96,114.91
P0092,Accessories,72.98,133.56
P0093,Lingerie,53.69,97.66
P0094,Lingerie,47.78,108.59
P0095,Lingerie,40.71,120.64
P0096,Accessories,50.42,110.34
P0097,Lingerie,34.88,81.48
P0098,Accessories,37.4,104.38
P0099,Beauty,47.23,108.75
P0100,Sleepwear,14.66,26.05
