order_id,return_reason
O00015,Damaged
O00022,Size
O00025,Damaged
O00054,Quality
O00057,Changed Mind
O00059,Changed Mind
O00063,Changed Mind
O00074,Changed Mind
O00075,Size
O00088,Damaged
O00112,Changed Mind
O00125,Changed Mind
O00129,Changed Mind
O00132,Quality
O00138,Size
O00167,Quality
O00179,Damaged
O00188,Changed Mind
O00192,Size
O00206,Size
O00238,Size
O00257,Quality
O00277,Quality
O00278,Quality
O00296,Quality
O00300,Damaged
O00304,Changed Mind
O00314,Changed Mind
O00325,Quality
O00337,Quality
O00346,Quality
O00357,Damaged
O00365,Damaged
O00372,Size
O00384,Changed Mind
O00386,Quality
O00396,Size
O00398,Changed Mind
O00453,Size
O00456,Damaged
O00469,Damaged
O00473,Size
O00474,Size
O00478,Changed Mind
O00485,Quality
O00495,Changed Mind
O00500,Changed Mind
O00512,Damaged
O00527,Damaged
O00560,Size
O00570,Damaged
O00572,Changed Mind
O00576,Size
O00582,Size
O00607,Damaged
O00635,Quality
O00653,Damaged
O00687,Size
O00708,Size
O00763,Quality
O00832,Changed Mind
O00852,Size
O00858,Quality
O00860,Changed Mind
O00882,Damaged
O00889,Quality
O00911,Changed Mind
O00926,Size
O00939,Size
O00953,Quality
O00958,Damaged
O00976,Quality
O00977,Size
O00988,Changed Mind
O01021,Damaged
O01024,Changed Mind
O01039,Quality
O01051,Quality
O01060,Changed Mind
O01065,Changed Mind
O01067,Changed Mind
O01071,Quality
O01072,Changed Mind
O01079,Size
O01084,Changed Mind
O01087,Size
O01107,Size
O01113,Changed Mind
O01117,Damaged
O01128,Damaged
O01139,Damaged
O01144,Size
O01152,Damaged
O01160,Damaged
O01173,Changed Mind
O01183,Quality
O01200,Size
O01201,Quality
O01205,Size
O01211,Size
O01252,Damaged
O01253,Changed Mind
O01254,Quality
O01261,Quality
O01286,Damaged
O01300,Quality
O01303,Quality
O01304,Size
O01330,Changed Mind
O01333,Changed Mind
O01350,Quality
O01361,Quality
O01373,Size
O01394,Damaged
O01422,Size
O01442,Damaged
O01465,Damaged
O01482,Size
O01485,Changed Mind
O01496,Size
O01500,Damaged
O01523,Changed Mind
O01525,Changed Mind
O01550,Size
O01576,Changed Mind
O01633,Changed Mind
O01637,Size
O01643,Quality
O01651,Changed Mind
O01664,Size
O01694,Size
O01720,Quality
O01739,Changed Mind
O01745,Damaged
O01752,Damaged
O01761,Changed Mind
O01765,Changed Mind
O01773,Size
O01789,Size
O01790,Damaged
O01791,Changed Mind
O01797,Size
O01811,Damaged
O01828,Damaged
O01840,Quality
O01845,Changed Mind
O01861,Quality
O01867,Size
O01887,Size
O01898,Damaged
O01901,Size
O01917,Quality
O01944,Changed Mind
O01958,Damaged
O01963,Damaged
O01998,Size
O02015,Damaged
O02017,Damaged
O02019,Changed Mind
O02027,Damaged
O02031,Changed Mind
O02032,Quality
O02049,Damaged
O02074,Quality
O02081,Changed Mind
O02083,Damaged
O02124,Size
O02126,Size
O02131,Damaged
O02138,Changed Mind
O02147,Size
O02155,Quality
O02158,Changed Mind
O02162,Changed Mind
O02183,Damaged
O02239,Quality
O02252,Changed Mind
O02276,Damaged
O02286,Quality
O02300,Changed Mind
O02301,Size
O02314,Quality
O02322,Changed Mind
O02331,Quality
O02389,Size
O02400,Changed Mind
O02402,Size
O02408,Damaged
O02409,Damaged
O02421,Changed Mind
O02425,Changed Mind
O02431,Quality
O02433,Changed Mind
O02445,Damaged
O02483,Changed Mind
O02485,Quality
O02495,Damaged
O02514,Changed Mind
O02518,Size
O02525,Size
O02529,Size
O02536,Size
O02542,Quality
O02573,Size
O02575,Size
O02583,Changed Mind
O02586,Size
O02596,Size
O02631,Changed Mind
O02636,Damaged
O02641,Quality
O02651,Quality
O02656,Damaged
O02661,Changed Mind
O02662,Damaged
O02664,Quality
O02724,Quality
O02753,Damaged
O02765,Size
O02781,Quality
O02793,Damaged
O02794,Size
O02795,Size
O02814,Changed Mind
O02832,Damaged
O02846,Quality
O02865,Changed Mind
O02867,Quality
O02874,Size
O02912,Damaged
O02942,Size
O02953,Size
O02991,Size
O03000,Damaged
O03010,Changed Mind
O03035,Quality
O03047,Size
O03055,Quality
O03077,Quality
O03096,Changed Mind
O03134,Damaged
O03135,Quality
O03139,Changed Mind
O03196,Quality
O03206,Size
O03210,Changed Mind
O03213,Damaged
O03217,Damaged
O03239,Size
O03255,Size
O03286,Quality
O03287,Changed Mind
O03288,Changed Mind
O03305,Changed Mind
O03308,Changed Mind
O03344,Quality
O03345,Changed Mind
O03354,Changed Mind
O03365,Damaged
O03372,Damaged
O03375,Quality
O03393,Size
O03396,Damaged
O03449,Size
O03469,Quality
O03489,Damaged
O03496,Damaged
O03517,Quality
O03543,Changed Mind
O03565,Quality
O03568,Size
O03586,Size
O03645,Changed Mind
O03666,Quality
O03683,Quality
O03697,Changed Mind
O03710,Quality
O03722,Damaged
O03751,Quality
O03776,Damaged
O03839,Quality
O03844,Damaged
O03854,Size
O03882,Changed Mind
O03903,Size
O03906,Damaged
O03926,Changed Mind
O03954,Size
O03971,Size
O03975,Damaged
O04015,Quality
O04037,Quality
O04051,Damaged
O04057,Size
O04059,Quality
O04069,Quality
O04078,Size
O04081,Damaged
O04083,Damaged
O04084,Quality
O04122,Damaged
O04137,Size
O04148,Damaged
O04154,Changed Mind
O04160,Damaged
O04178,Damaged
O04181,Damaged
O04196,Changed Mind
O04203,Size
O04208,Damaged
O04215,Quality
O04232,Damaged
O04238,Changed Mind
O04239,Changed Mind
O04257,Quality
O04259,Changed Mind
O04268,Changed Mind
O04269,Changed Mind
O04271,Size
O04275,Changed Mind
O04283,Damaged
O04290,Quality
O04302,Damaged
O04320,Damaged
O04331,Quality
O04351,Size
O04387,Size
O04394,Changed Mind
O04400,Size
O04418,Size
O04420,Changed Mind
O04444,Size
O04462,Size
O04464,Changed Mind
O04481,Damaged
O04510,Damaged
O04520,Quality
O04551,Size
O04553,Changed Mind
O04594,Changed Mind
O04611,Size
O04618,Size
O04619,Changed Mind
O04633,Changed Mind
O04640,Changed Mind
O04668,Quality
O04672,Damaged
O04684,Changed Mind
O04710,Damaged
O04711,Size
O04718,Damaged
O04737,Damaged
O04745,Damaged
O04772,Size
O04779,Damaged
O04854,Damaged
O04857,Quality
O04870,Size
O04872,Damaged
O04918,Size
